metric,value,bestValue,repo
reliability_rating,5.0,False,OpenTUMFlex
reliability_remediation_effort,230,False,OpenTUMFlex
security_rating,1.0,True,OpenTUMFlex
security_remediation_effort,0,True,OpenTUMFlex
sqale_index,1562,False,OpenTUMFlex
sqale_rating,1.0,True,OpenTUMFlex
duplicated_lines_density,0.0,True,PREP-SHOT
reliability_rating,2.0,False,PREP-SHOT
reliability_remediation_effort,20,False,PREP-SHOT
security_rating,1.0,True,PREP-SHOT
security_remediation_effort,0,True,PREP-SHOT
sqale_index,228,False,PREP-SHOT
sqale_rating,1.0,True,PREP-SHOT
duplicated_lines_density,5.9,False,PSATools-Python
reliability_rating,5.0,False,PSATools-Python
reliability_remediation_effort,15,False,PSATools-Python
security_rating,1.0,True,PSATools-Python
security_remediation_effort,0,True,PSATools-Python
sqale_index,1876,False,PSATools-Python
sqale_rating,1.0,True,PSATools-Python
duplicated_lines_density,37.0,False,PSP
reliability_rating,5.0,False,PSP
reliability_remediation_effort,27225,False,PSP
security_rating,1.0,True,PSP
security_remediation_effort,0,True,PSP
sqale_index,361362,False,PSP
sqale_rating,1.0,True,PSP
duplicated_lines_density,9.1,False,PYPOWER
reliability_rating,5.0,False,PYPOWER
reliability_remediation_effort,254,False,PYPOWER
security_rating,1.0,True,PYPOWER
security_remediation_effort,0,True,PYPOWER
sqale_index,6594,False,PYPOWER
sqale_rating,1.0,True,PYPOWER
duplicated_lines_density,30.1,False,PYPOWER-Dynamics
reliability_rating,1.0,True,PYPOWER-Dynamics
reliability_remediation_effort,0,True,PYPOWER-Dynamics
security_rating,1.0,True,PYPOWER-Dynamics
security_remediation_effort,0,True,PYPOWER-Dynamics
sqale_index,949,False,PYPOWER-Dynamics
sqale_rating,1.0,True,PYPOWER-Dynamics
duplicated_lines_density,5.8,False,ParaEMT_public
reliability_rating,3.0,False,ParaEMT_public
reliability_remediation_effort,122,False,ParaEMT_public
security_rating,1.0,True,ParaEMT_public
security_remediation_effort,0,True,ParaEMT_public
sqale_index,3474,False,ParaEMT_public
sqale_rating,1.0,True,ParaEMT_public
duplicated_lines_density,2.1,False,PowNet
reliability_rating,5.0,False,PowNet
reliability_remediation_effort,47,False,PowNet
security_rating,1.0,True,PowNet
security_remediation_effort,0,True,PowNet
sqale_index,1061,False,PowNet
sqale_rating,1.0,True,PowNet
duplicated_lines_density,0.1,False,PowerSystemDataModel
reliability_rating,3.0,False,PowerSystemDataModel
reliability_remediation_effort,10,False,PowerSystemDataModel
security_rating,1.0,True,PowerSystemDataModel
security_remediation_effort,0,True,PowerSystemDataModel
sqale_index,9849,False,PowerSystemDataModel
sqale_rating,1.0,True,PowerSystemDataModel
duplicated_lines_density,11.2,False,PyLESA
reliability_rating,5.0,False,PyLESA
reliability_remediation_effort,135,False,PyLESA
security_rating,1.0,True,PyLESA
security_remediation_effort,0,True,PyLESA
sqale_index,2385,False,PyLESA
sqale_rating,1.0,True,PyLESA
duplicated_lines_density,1.8,False,PyPSA
reliability_rating,5.0,False,PyPSA
reliability_remediation_effort,239,False,PyPSA
security_rating,1.0,True,PyPSA
security_remediation_effort,0,True,PyPSA
sqale_index,2818,False,PyPSA
sqale_rating,1.0,True,PyPSA
duplicated_lines_density,1.7,False,REHO
reliability_rating,5.0,False,REHO
reliability_remediation_effort,122,False,REHO
security_rating,1.0,True,REHO
security_remediation_effort,0,True,REHO
sqale_index,3812,False,REHO
sqale_rating,1.0,True,REHO
duplicated_lines_density,25.9,False,REVUB
reliability_rating,3.0,False,REVUB
reliability_remediation_effort,5,False,REVUB
security_rating,1.0,True,REVUB
security_remediation_effort,0,True,REVUB
sqale_index,457,False,REVUB
sqale_rating,1.0,True,REVUB
duplicated_lines_density,1.5,False,REopt_API
reliability_rating,5.0,False,REopt_API
reliability_remediation_effort,224,False,REopt_API
security_rating,4.0,False,REopt_API
security_remediation_effort,5,False,REopt_API
sqale_index,13434,False,REopt_API
sqale_rating,1.0,True,REopt_API
duplicated_lines_density,8.8,False,RHEIA
reliability_rating,3.0,False,RHEIA
reliability_remediation_effort,225,False,RHEIA
security_rating,1.0,True,RHEIA
security_remediation_effort,0,True,RHEIA
sqale_index,524,False,RHEIA
sqale_rating,1.0,True,RHEIA
duplicated_lines_density,48.2,False,RODeO
reliability_rating,5.0,False,RODeO
reliability_remediation_effort,101,False,RODeO
security_rating,1.0,True,RODeO
security_remediation_effort,0,True,RODeO
