num_downloads,month,project
1515,2025-11-01,amirispy
8675,2025-11-01,calliope
151,2025-11-01,pymfm
678,2025-11-01,osier
239,2025-11-01,onsset
99,2025-11-01,python-microgrid
271,2025-11-01,mescal
449,2025-11-01,pybalmorel
334,2025-11-01,rheia-meca2675
1228,2025-11-01,muse-os
1151,2025-11-01,grimsel
912,2025-11-01,energyscope
2577,2025-11-01,mosaik
1217,2025-11-01,stepspy
40149,2025-11-01,pypower
1339,2025-11-01,assume-framework
5537,2025-11-01,zen-garden
5508,2025-11-01,andes
227,2025-11-01,sustaingym
156811,2025-11-01,pandapower
387,2025-11-01,gridfm-graphkit
582,2025-11-01,friendlysam
1511,2025-11-01,tesp-support
6927,2025-11-01,flixopt
98,2025-11-01,pownet
491,2025-11-01,pyetm
164,2025-11-01,heron-ravenframework
979,2025-11-01,matpower
2068,2025-11-01,esa
199,2025-11-01,ego
1127,2025-11-01,chronix2grid
290,2025-11-01,pycity-scheduling
143,2025-11-01,emflow
11141,2025-11-01,message-ix
6971,2025-11-01,pypowsybl
676,2025-11-01,reho
124860,2025-11-01,nrel-pysam
264,2025-11-01,villas-node
1732,2025-11-01,nempy
1737,2025-11-01,gridpath
201,2025-11-01,microgrids
439,2025-11-01,dpsim
628,2025-11-01,pyehub
74858,2025-11-01,pypsa
2134,2025-11-01,opentepes
383,2025-11-01,dispatches
62742,2025-11-01,hybridbosse
234,2025-11-01,dieterpy
1405,2025-11-01,iesopt
162,2025-11-01,nrel-emerge
3676,2025-11-01,veragridengine
669,2025-11-01,minpower
865,2025-11-01,powergama
69,2025-11-01,pypownet
225,2025-11-01,pypower-dynamics
476,2025-11-01,switch-model
10442,2025-11-01,fine
492,2025-11-01,omegalpes
1509,2025-11-01,multi-vector-simulator
126,2025-11-01,opensduc
1108,2025-11-01,tz-osemosys
252,2025-11-01,deflex
23618,2025-11-01,grid2op
25892,2025-11-01,hopp
255,2025-11-01,pymarket
97225,2025-11-01,power-grid-model
1063,2025-11-01,nrel-erad
2223,2025-11-01,gridx-egret
809,2025-10-01,energyscope
352,2025-10-01,omegalpes
968,2025-10-01,nrel-erad
260,2025-10-01,pycity-scheduling
128,2025-10-01,nrel-emerge
365,2025-10-01,mescal
332,2025-10-01,gridfm-graphkit
1487,2025-10-01,edisgo
143,2025-10-01,heron-ravenframework
673,2025-10-01,powergama
1408,2025-10-01,nempy
8420,2025-10-01,fine
5306,2025-10-01,zen-garden
138,2025-10-01,emflow
575,2025-10-01,reho
838,2025-10-01,tz-osemosys
190,2025-10-01,ego
78566,2025-10-01,nrel-pysam
138,2025-10-01,sustaingym
157,2025-10-01,dieterpy
1427,2025-10-01,muse-os
133,2025-10-01,pymfm
1495,2025-10-01,gridx-egret
1637,2025-10-01,amirispy
207,2025-10-01,deflex
268,2025-10-01,dispatches
1701,2025-10-01,multi-vector-simulator
171,2025-10-01,microgrids
243,2025-10-01,villas-node
1891,2025-10-01,mosaik
35757,2025-10-01,pypsa
729,2025-10-01,tesp-support
76,2025-10-01,pownet
103370,2025-10-01,pandapower
191,2025-10-01,friendlysam
91052,2025-10-01,power-grid-model
580,2025-10-01,pyehub
2387,2025-10-01,gridpath
4363,2025-10-01,flixopt
619,2025-10-01,matpower
90,2025-10-01,opensduc
932,2025-10-01,chronix2grid
705,2025-10-01,stepspy
196,2025-10-01,pymarket
3565,2025-10-01,hopp
7460,2025-10-01,grid2op
