username,classification,company,location,repos
7tobias,unknown,,,gh:akkudoktor-eos/eos
839651726,unknown,,CHN,"gh:changgang/steps,gh:curent/andes"
86wilder,unknown,,,gh:akkudoktor-eos/eos
871526,unknown,,,gh:e2niee/pandapower
893949088,unknown,,,gh:powsybl/powsybl-core
8986ca6c,unknown,,,gh:matpower/matpower
905245913,unknown,,,gh:prep-next/prep-shot
910061035,unknown,,,gh:juliaenergy/powerdynamics.jl
91ma,unknown,,,gh:future-power-networks/simplus-grid-tool
9527-ly,unknown,,,"gh:changgang/steps,gh:curent/andes,gh:lanl-ansi/powermodels.jl"
95788,unknown,,,"gh:e2niee/pandapower,gh:matpower/matpower,gh:sanpen/veragrid"
95Benjamin,unknown,,,gh:fzj-iek3-vsa/fine
95Penguin,unknown,,,"gh:e2niee/pandapower,gh:matpower/matpower"
97joseph,industry,,KEN,"gh:lanl-ansi/powermodels.jl,gh:nrel-sienna/powersimulations.jl,gh:nrel-sienna/powersimulationsdynamics.jl"
980202006,unknown,,,gh:calliope-project/calliope
989139835182,unknown,,,"gh:e2niee/pandapower,gh:oemof/oemof-solph,gh:pypsa/pypsa,gh:quintel/etmodel"
A1dana,unknown,,,gh:osemosys/osemosys
AAQ2019,unknown,,,gh:energysystemsmodellinglab/muse_os
AASADIQ,academic,"federal university of technology, minna",NER,gh:matpower/matpower
AB-Coder96,industry,,,gh:pypsa/pypsa
ABla35,unknown,,,gh:roseautechnologies/roseau_load_flow
ABollinger,unknown,,,gh:emlab/emlab-generation
ACatAC,unknown,,,gh:powergridmodel/power-grid-model
ADAM-io,professional,n2,,gh:marvinler/pypownet
ADC27,unknown,,,gh:genxproject/genx.jl
ADGEfficiency,unknown,,,"gh:adgefficiency/energy-py,gh:gh:adgefficiency/energy-py-linear"
ADM91,unknown,,ISL,"gh:e2niee/pandapower,gh:matpower/matpower"
ADam-LVA,unknown,,,gh:powsybl/powsybl-core
AETEE,unknown,,,gh:openipsl/openipsl
AElatar81,unknown,,,gh:openipsl/openipsl
AF01069,unknown,,,gh:eliagroup/toop
AGNutGH,unknown,,GBR,gh:pypsa/pypsa
AGeissler,unknown,,,gh:e2niee/pandapower
AH-Hammi,industry,kostal electro mobility deutschland gmbh & co. kg,DEU,gh:akkudoktor-eos/eos
AHaumer,academic,edrives & oth regensburg,DEU,gh:openipsl/openipsl
AI-EFFECT,unknown,,IRL,gh:grid2op/grid2op
AI4REALNET,industry,,,gh:grid2op/grid2op
AIAfernandezc,unknown,,,gh:dynawo/dynawo
AIAitesla,professional,aplicaciones en informatica avanzada,,"gh:openipsl/openipsl,gh:powsybl/powsybl-core"
AIEADA,unknown,,,gh:erf-model/erf
AIHub666,unknown,,,gh:e2niee/pandapower
AIRicky,utility,self,CHN,gh:matpower/matpower
AIShankhoGhosh,unknown,,,gh:e2niee/pandapower
AIagent-007,unknown,,,gh:future-power-networks/simplus-grid-tool
AIncredible,unknown,,,gh:calliope-project/calliope
AIwalker1,unknown,,,gh:iiasa/message_ix
AKarimzadeh,unknown,,,"gh:openipsl/openipsl,gh:upb-lea/electricgrid.jl"
AL-255,academic,,USA,gh:rwl/pypower
ALRSIE,unknown,,,gh:e2niee/pandapower
ALSETLab,academic,,USA,gh:openipsl/openipsl
ALiaoXiXi,unknown,,,gh:drafproject/draf
ALor79,unknown,,,gl:mosaik/mosaik
AMBMD,unknown,,,gh:pypsa/pypsa
AMDonati,academic,ecole polytechnique,FRA,gh:adgefficiency/energy-py
AMLattanzi,academic,university of california berkeley,USA,gh:erf-model/erf
AMTQ,unknown,,CHE,gh:calliope-project/calliope
